,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
4274,4275,2417234,뉴코아아울렛 인천논현점,,New Core Outlet Incheon Nonhyeon Branch,Shops and Service,Department Store,126.72588162467991,37.40076522655876,대한민국,KOR,KOR,인천광역시,남동구,,논현동,,청능대로,596,650-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||아울렛||프랜차이즈||뉴코아아울렛",False
43738,43739,20159751,롯데백화점 인천점,,Lotte Department Store Incheon Terminal,Shops and Service,Department Store,126.70137839999896,37.44248529999958,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-08-30 9:43:30,"쇼핑,편의||종합판매점||백화점||프랜차이즈||롯데백화점",False
59363,59364,17547,2001아울렛 부평점,이천일아울렛 부평점,2001 Outlet Bupyeong,Shops and Service,Department Store,126.71047509806795,37.49077101611801,대한민국,KOR,KOR,인천광역시,부평구,,산곡동,,경원대로,1277,311-151,2022-08-08 10:29:42,"쇼핑,편의||종합판매점||아울렛||프랜차이즈||2001아울렛",False
81571,81572,27183551,트리플스트리트,,triple street,Shops and Service,Department Store,126.65938837048392,37.38125353794307,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,송도과학로16번길,33-1,170-1,2022-09-06 15:18:26,"쇼핑,편의||종합판매점||쇼핑복합시설||쇼핑복합시설-일반",False
82947,82948,4577123,스타필드청라(2024년예정),,Starfield Cheongna (planned in 2024),Shops and Service,Department Store,126.61841159950868,37.54894689972357,대한민국,KOR,KOR,인천광역시,서구,,청라동,,,,6-16,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||쇼핑복합시설||프랜차이즈||스타필드",False
119578,119579,3027155,이랜드몰(2023년예정),이랜드,E-Land Mall (planned in 2023),Shops and Service,Department Store,126.6376234000558,37.38706819962084,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,,,94-4,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||쇼핑복합시설||쇼핑복합시설-일반",False
121655,121656,3027154,롯데몰송도 (2025년예정),,Lotte Mall Songdo (planned for 2025),Shops and Service,Department Store,126.64196400047972,37.38646680032257,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,,,8-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||쇼핑복합시설||쇼핑복합시설-일반",False
122845,122846,661179,뉴코아아울렛 인천점,NEWCOREOUTLET 인천점,New Core Outlet Incheon,Shops and Service,Department Store,126.70075304662694,37.444263411271685,대한민국,KOR,KOR,인천광역시,남동구,,구월동,,인하로,485,1465-1,2022-05-01 12:37:48,"쇼핑,편의||종합판매점||아울렛||프랜차이즈||뉴코아아울렛",False
143540,143541,27021716,이안엘앤티 롯데백화점인천점,,Ian L&T Lotte Department Store Incheon,Shops and Service,Department Store,126.70137839999988,37.44248529999977,대한민국,KOR,KOR,인천광역시,미추홀구,,관교동,,연남로,35,15,2022-08-16 16:52:33,"쇼핑,편의||종합판매점||백화점||백화점-일반",False
