,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
25282,25283,5712033,강화창의체험관,강화창의체험관,Ganghwa Creative Experience Center,Arts and Entertainment,Science Museum,126.46572910002465,37.75956429966533,대한민국,KOR,KOR,인천광역시,강화군,,송해면,하도리,강화대로665번길,9,359-8,2022-08-12 13:15:03,"종교,문화||문화시설||과학관",False
74223,74224,1871186,인천어린이과학관,인천시어린이과학관,Incheon Children's Science Museum,Arts and Entertainment,Science Museum,126.74001259999996,37.55158209999961,대한민국,KOR,KOR,인천광역시,계양구,,방축동,,방축로,21,108-1,2022-08-18 12:00:50,"종교,문화||문화시설||과학관",False
97056,97057,430023,옥토끼우주센터,,Jade Rabbit Space Center,Arts and Entertainment,Science Museum,126.48715709999884,37.67420089999948,대한민국,KOR,KOR,인천광역시,강화군,,불은면,두운리,강화동로,403,1026,2022-09-06 15:18:26,"종교,문화||문화시설||박물관||과학박물관",False
100277,100278,1830362,인천학생과학관,인천과학관,Incheon Student Science Center,Arts and Entertainment,Science Museum,126.50791689999956,37.4908062999997,대한민국,KOR,KOR,인천광역시,중구,,운서동,,영종대로277번길,74-10,3077-5,2022-05-13 10:36:55,"종교,문화||문화시설||과학관",False
