,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
31496,31497,5677624,빅트리호스텔,BigTree호스텔,Big Tree Hostel,Travel and Transport,Hostel,126.50923789966971,37.73908600139533,대한민국,KOR,KOR,인천광역시,강화군,,강화읍,용정리,강화대로,184,665,2019-11-07 23:01:47,숙박||호스텔||호스텔-일반,False
53262,53263,20703053,선녀호스텔,,Fairy Hostel ,Travel and Transport,Hostel,126.37900415089346,37.44128784755816,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,선녀바위로55번길,10-4,678-138,2022-08-24 14:41:06,숙박||호스텔||호스텔-일반,False
72047,72048,1273292,신화유스호스텔,신화호스텔,Shinhwa Youth Hostel,Travel and Transport,Hostel,126.36038750039673,37.7732667006546,대한민국,KOR,KOR,인천광역시,강화군,,하점면,창후리,창후로288번길,52,830-5,2022-08-18 12:00:50,숙박||호스텔||호스텔-일반,False
81412,81413,389374,시드니호스텔,,Sydney Hostel,Travel and Transport,Hostel,126.37929392472148,37.44165025630006,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,선녀바위로55번길,10-7,678-72,2022-08-12 13:15:03,숙박||호스텔||호스텔-일반,False
126568,126569,20703057,메누하호스텔,,Menuha Hostel ,Travel and Transport,Hostel,126.37633701417876,37.447369279731994,대한민국,KOR,KOR,인천광역시,중구,,을왕동,,용유서로302번길,21-11,742-7,2022-05-01 12:37:48,숙박||호스텔||호스텔-일반,False
138986,138987,594579,강화유스호스텔,,Ganghwa Youth Hostel,Travel and Transport,Hostel,126.37417329950544,37.704528500690365,대한민국,KOR,KOR,인천광역시,강화군,,내가면,외포리,해안서로,972,698-2,2022-05-01 12:37:48,숙박||호스텔||호스텔-일반,False
