,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
65452,65453,3966114,툴롱,TOULON,Toulon,Food,French Food,126.64334438124789,37.38592153077484,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,인천타워대로132번길,30,8-3,2022-09-06 15:18:26,음식||양식||프랑스음식,False
81807,81808,3658315,라비스타,,Labista,Food,French Food,126.65896769999996,37.41642959999977,대한민국,KOR,KOR,인천광역시,연수구,,동춘동,,청량로70번길,40-12,806-21,2022-08-24 14:41:06,음식||양식||프랑스음식,False
133138,133139,27161486,제이라운지,,J Lounge,Food,French Food,126.63170019999993,37.39362519999977,대한민국,KOR,KOR,인천광역시,연수구,,송도동,,인천타워대로,257,84-2,2022-09-06 15:18:26,음식||양식||프랑스음식,False
