,OID_,id,name,name_alias,name_eng,category,subcategory,lon,lat,country,country_code,language_code,sd,sgg,sgg_sub,emd,ri,street,number_st,number_jb,update_date,dwnm,result
62860,62861,5456161,예동해변, ,Yedong Beach,Parks and Outdoors,Beach,124.7577282994534,37.76962750010802,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,소청리,,,산141,2022-05-01 12:37:48,"관광,명소||자연명소||해수욕장,해변",False
78978,78979,26865026,사탄동해수욕장,사탄동해변,Satan dongBeach,Parks and Outdoors,Beach,124.68454999962752,37.814008299701854,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,대청남로,519,산281-1,2022-05-01 12:37:48,"관광,명소||자연명소||해수욕장,해변",False
126070,126071,1284639,구리동해수욕장,구리동해변,Guri-dong Beach,Parks and Outdoors,Beach,125.68514999985264,37.66854289982929,대한민국,KOR,KOR,인천광역시,옹진군,,연평면,연평리,,,905,2022-05-01 12:37:48,"관광,명소||자연명소||해수욕장,해변",False
147352,147353,2596366,건어장해변,건어장해수욕장,dried fish market,Parks and Outdoors,Beach,126.32924999999972,37.53981669999983,대한민국,KOR,KOR,인천광역시,옹진군,,북도면,장봉리,,,,2017-09-29 7:07:07,"관광,명소||자연명소||해수욕장,해변",False
147360,147361,5456069,옥죽동해변, ,Okjukdong Beach,Parks and Outdoors,Beach,124.71497669984144,37.84659929988764,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,,,,2021-12-23 15:49:18,"관광,명소||자연명소||해수욕장,해변",False
147364,147365,1257604,답동해수욕장,답동해변,Dapdong Beach,Parks and Outdoors,Beach,124.71394599990576,37.83074809994309,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,,,,2020-05-12 14:50:15,"관광,명소||자연명소||해수욕장,해변",False
147366,147367,1850853,미아동해변,,MiAdong Beach,Parks and Outdoors,Beach,124.69486249996818,37.83883209999918,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,,,,2017-04-26 8:08:08,"관광,명소||자연명소||해수욕장,해변",False
147367,147368,1850346,대진동해변,,DaeJindong Beach,Parks and Outdoors,Beach,124.72021389996976,37.84575829999923,대한민국,KOR,KOR,인천광역시,옹진군,,대청면,대청리,,,,2017-04-26 8:08:08,"관광,명소||자연명소||해수욕장,해변",False
